t0	t1	VALUE	ID_participant	ID_partner	ID_dyad	IP_ID	clarity	speech_clean	word_count
274400	277400	want ja ik had normaal gezien had ik geregistreerd om	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_274400_277400	ok	    normaal gezien   geregistreerd 	4
277960	279610	ja ik heb mijn traject zo'n beetje	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_277960_279610	ok	    traject zo' beetje	4
279785	282015	nu ben ik toch aan de master taal- en letterkunde begonnen	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_279785_282015	ok	nu      master taal-  letterkunde begonnen	5
282130	285000	maar ik ging eigenlijk master culturele studies doen dit jaar	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_282130_285000	ok	  ging eigenlijk master culturele studies   jaar	7
285310	290280	aangezien ik dat kon combineren met een Erasmus omdat ik dan zo snel mogelijk wilde gaan	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_285310_290280	ok	aangezien    combineren   Erasmus   dan zo snel mogelijk  gaan	8
289345	289875	ja	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_289345_289875	ok		0
290590	292910	en ik had euhm mij opgegeven om naar Denemarken te gaan	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_290590_292910	ok	   opgegeven   Denemarken te gaan	5
292860	294700	oeh da's wel leuk natuurlijk	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_292860_294700	ok	oeh   leuk natuurlijk	3
293430	294040	en	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_293430_294040	ok		0
294790	297110	ja en die culturele studies daar zijn kei goed want	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_294790_297110	ok	   culturele studies daar  kei goed 	6
297110	300000	ik heb nu mijn bachelorpaper ook geschreven over	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_297110_3e+05	ok	  nu  bachelorpaper  geschreven 	4
300460	304020	ja zo wat culturele studies ah ja over de contemporary ik ga u daar niet meer boren	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_300460_304020	ok	 zo  culturele studies     contemporary  ga  daar  meer boren	9
303500	305770	nee nee maar ik ben geïnteresseerd (da's goed)	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_303500_305770	unclear	     geïnteresseerd  goed	3
304755	305755	ik ga daar niet over	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_304755_305755	ok	 ga daar  	3
305755	307855	maar euhm en dat was ook euhm	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_305755_307855	ok	 	1
308420	311440	dat pro allez die essays die ik toen heb gebruikt	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_308420_311440	ok	 pro   essays     gebruikt	4
311550	312600	die komen ook van	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_311550_312600	ok	 komen  	2
312865	314955	die universiteit waardat ik zou gaan	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_312865_314955	ok	 universiteit waardat   gaan	4
313220	314060	ah zot	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_313220_314060	ok	 zot	2
314060	314940	ja da's	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_314060_314940	ok	 	1
315450	317040	da's wel heel interessant natuurlijk	1410_1900_A	1410_1900_B	1410_1900_AB	1410_1900_A_1410_1900_B_315450_317040	ok	  heel interessant natuurlijk	4
315460	316040	dus	1410_1900_B	1410_1900_A	1410_1900_AB	1410_1900_B_1410_1900_A_315460_316040	ok		0
